bait	prey	source
sll1803	sll1811	string
sll1733	slr0261	string
sll0493	slr1509	string
sll0027	slr0844	string
slr1626	slr2026	string
sll1805	sll1810	string
sll1733	slr1279	string
sll1557	slr1233	string
sll0900	sll1893	string
sll0757	slr0838	string
sll0027	slr1281	string
slr1368	slr1467	string
slr0348	slr2136	string
sll1743	sll1744	string
sll1508	slr0776	string
sll1220	sll1223	string
sll1112	slr2130	string
sll0519	sll1732	string
sll0379	slr0015	string
sll0223	sll1733	string
slr0836	slr0985	string
slr0444	slr2130	string
sll1800	sll1802	string
sll1733	slr1281	string
sll1733	slr0844	string
sll1056	slr0477	string
sll0421	slr0597	string
sll0329	sll1479	string
sll0099	slr1467	string
slr1423	slr1874	string
slr0252	slr1368	string
sll1802	sll1805	string
sll1366	slr1429	string
sll1363	sll1981	string
sll1221	slr1279	string
sll1070	slr1793	string
sll0916	slr0969	string
slr1452	slr1453	string
slr1176	slr1367	string
slr1138	slr2082	string
slr0406	slr1476	string
slr0084	slr0608	string
sll1941	sll2005	string
sll1599	sll1600	string
sll1557	sll1625	string
sll1356	slr1176	string
sll1224	sll1226	string
sll1172	sll1760	string
sll1023	slr1233	string
slr1729	slr1731	string
sll1023	sll1625	string
sll0900	slr0652	string
sll0823	sll1557	string
sll0223	sll1220	string
sll0019	slr0951	string
slr1559	slr2130	string
sll0936	slr0926	string
sll0900	slr0084	string
sll0823	sll1023	string
sll0807	sll1070	string
sll0643	sll1750	string
slr2082	slr2083	string
slr1728	slr1731	string
slr1137	slr2083	string
slr0477	slr0520	string
sll0026	slr1280	string
Q55280	sll1599	string
sll1833	slr1267	string
sll1804	sll1812	string
sll1799	sll1805	string
sll1747	slr2130	string
sll1743	sll1745	string
sll1221	slr1281	string
sll0865	slr1844	string
sll0711	slr1542	string
sll0521	sll1221	string
sll0026	sll0521	string
slr0902	slr0903	string
slr0901	slr0903	string
sll1805	sll1808	string
sll1423	slr1756	string
sll0520	sll1220	string
slr0055	slr0546	string
sll1220	slr1281	string
sll0711	slr0951	string
sll0026	slr0261	string
slr0519	slr0520	string
sll1501	slr1467	string
sll1221	slr0844	string
slr0406	slr1418	string
slr0078	slr0426	string
sll1732	slr1280	string
sll1508	sll1605	string
sll1185	sll1876	string
sll1101	sll1804	string
sll0753	slr0477	string
sll0578	slr1226	string
sll0521	sll1732	string
slr1055	slr1777	string
slr0738	slr0966	string
sll2008	sll2009	string
sll1444	sll1564	string
sll0728	slr1511	string
sll0288;ssl0543	sll0289	string
slr0017	slr1424	string
sll1027	sll1499	string
sll0603	sll1127	string
sll0026	slr1281	string
slr1423	slr1656	string
slr0075	slr0076	string
sll1931	slr0293	string
sll1800	sll1803	string
sll1322	sll1327	string
sll1161	slr1991	string
sll1127	slr0492	string
sll1069	slr0435	string
sll0757	sll1056	string
sll0657	sll2010	string
sll0026	slr1279	string
slr0543	slr0738	string
slr0260	slr0636	string
sll1799	sll1808	string
sll1732	slr1281	string
sll0753	sll1931	string
sll0712	slr1348	string
sll0420	sll0643	string
sll0223	sll1221	string
sll1806	sll1810	string
sll1732	slr1279	string
sll0728	sll1069	string
sll0521	sll1220	string
